INFO 2025-10-02 14:36:28,933 autoreload 13320 11580 Watching for file changes with StatReloader
INFO 2025-10-02 15:40:29,713 basehttp 13320 1448 "POST /api/auth/login HTTP/1.1" 200 344
INFO 2025-10-02 20:11:31,723 autoreload 18908 4532 Watching for file changes with StatReloader
INFO 2025-10-02 20:20:02,055 basehttp 18908 11388 "POST /api/auth/login HTTP/1.1" 200 344
INFO 2025-10-03 09:33:26,933 autoreload 17576 20204 Watching for file changes with StatReloader
INFO 2025-10-03 09:38:35,357 basehttp 17576 12112 "POST /api/auth/login HTTP/1.1" 200 344
INFO 2025-10-03 12:00:12,594 autoreload 5480 15024 Watching for file changes with StatReloader
INFO 2025-10-03 16:05:07,201 basehttp 5480 6796 "POST /api/auth/login HTTP/1.1" 200 344
INFO 2025-10-03 17:05:50,839 autoreload 3892 18580 Watching for file changes with StatReloader
WARNING 2025-10-04 17:32:55,537 log 3892 5184 Not Found: /
WARNING 2025-10-04 17:32:55,539 basehttp 3892 5184 "GET / HTTP/1.1" 404 2610
WARNING 2025-10-04 17:32:57,318 log 3892 2556 Not Found: /favicon.ico
WARNING 2025-10-04 17:32:57,319 basehttp 3892 2556 "GET /favicon.ico HTTP/1.1" 404 2661
INFO 2025-10-04 17:36:38,864 basehttp 3892 17436 "POST /api/auth/login HTTP/1.1" 200 344
INFO 2025-10-04 17:40:55,450 basehttp 3892 15224 "POST /api/auth/login HTTP/1.1" 200 344
INFO 2025-10-04 18:14:09,242 basehttp 3892 3440 "POST /api/auth/login HTTP/1.1" 200 344
INFO 2025-10-04 23:03:05,989 autoreload 21592 20264 Watching for file changes with StatReloader
WARNING 2025-10-04 23:04:05,557 log 21592 17976 Unauthorized: /api/auth/login
WARNING 2025-10-04 23:04:05,562 basehttp 21592 17976 "POST /api/auth/login HTTP/1.1" 401 39
INFO 2025-10-04 23:04:18,362 basehttp 21592 11536 "POST /api/auth/login HTTP/1.1" 200 344
INFO 2025-10-07 19:21:45,590 autoreload 17472 1800 Watching for file changes with StatReloader
INFO 2025-10-07 19:22:31,655 basehttp 17472 20640 "POST /api/auth/login HTTP/1.1" 200 344
INFO 2025-10-08 09:14:37,497 autoreload 13992 9148 Watching for file changes with StatReloader
INFO 2025-10-08 09:24:14,178 basehttp 13992 13552 "POST /api/auth/login HTTP/1.1" 200 344
INFO 2025-10-08 12:11:20,514 basehttp 13992 20784 "POST /api/auth/login HTTP/1.1" 200 344
INFO 2025-10-08 12:20:31,277 basehttp 13992 17136 "POST /api/auth/login HTTP/1.1" 200 343
INFO 2025-10-08 12:21:41,912 basehttp 13992 10400 "POST /api/auth/register HTTP/1.1" 201 349
INFO 2025-10-08 12:21:47,437 basehttp 13992 11532 "POST /api/auth/login HTTP/1.1" 200 342
WARNING 2025-10-08 12:26:16,085 log 13992 9200 Unauthorized: /api/auth/login
WARNING 2025-10-08 12:26:16,096 basehttp 13992 9200 "POST /api/auth/login HTTP/1.1" 401 39
WARNING 2025-10-08 12:26:20,739 log 13992 18936 Unauthorized: /api/auth/login
WARNING 2025-10-08 12:26:20,741 basehttp 13992 18936 "POST /api/auth/login HTTP/1.1" 401 39
ERROR 2025-10-08 12:31:40,634 log 13992 6244 Not Implemented: /api/auth/github
ERROR 2025-10-08 12:31:40,642 basehttp 13992 6244 "GET /api/auth/github HTTP/1.1" 501 81
ERROR 2025-10-08 12:31:56,218 log 13992 16556 Not Implemented: /api/auth/facebook
ERROR 2025-10-08 12:31:56,220 basehttp 13992 16556 "GET /api/auth/facebook HTTP/1.1" 501 85
ERROR 2025-10-08 12:32:07,531 log 13992 17016 Not Implemented: /api/auth/google
ERROR 2025-10-08 12:32:07,533 basehttp 13992 17016 "GET /api/auth/google HTTP/1.1" 501 81
INFO 2025-10-08 13:03:30,855 basehttp 13992 5400 "POST /api/auth/login HTTP/1.1" 200 344
INFO 2025-10-08 13:10:42,208 basehttp 13992 1920 "POST /api/auth/login HTTP/1.1" 200 344
INFO 2025-10-08 13:33:27,690 basehttp 13992 20816 "POST /api/auth/login HTTP/1.1" 200 344
WARNING 2025-10-08 13:33:39,336 log 13992 21908 Unauthorized: /api/auth/login
WARNING 2025-10-08 13:33:39,337 basehttp 13992 21908 "POST /api/auth/login HTTP/1.1" 401 39
INFO 2025-10-08 13:34:08,492 basehttp 13992 20916 "POST /api/auth/login HTTP/1.1" 200 344
WARNING 2025-10-08 13:34:18,342 log 13992 9104 Unauthorized: /api/auth/login
WARNING 2025-10-08 13:34:18,345 basehttp 13992 9104 "POST /api/auth/login HTTP/1.1" 401 39
INFO 2025-10-08 13:42:19,660 basehttp 13992 2208 "POST /api/auth/login HTTP/1.1" 200 344
WARNING 2025-10-08 13:42:35,224 log 13992 20420 Unauthorized: /api/auth/login
WARNING 2025-10-08 13:42:35,227 basehttp 13992 20420 "POST /api/auth/login HTTP/1.1" 401 39
INFO 2025-10-08 13:43:12,333 basehttp 13992 2920 "POST /api/auth/login HTTP/1.1" 200 342
INFO 2025-10-08 13:44:55,821 basehttp 13992 18228 "POST /api/auth/login HTTP/1.1" 200 342
INFO 2025-10-08 13:45:46,128 basehttp 13992 10876 "POST /api/auth/login HTTP/1.1" 200 342
WARNING 2025-10-08 13:46:01,326 log 13992 4168 Unauthorized: /api/auth/login
WARNING 2025-10-08 13:46:01,328 basehttp 13992 4168 "POST /api/auth/login HTTP/1.1" 401 39
INFO 2025-10-08 13:46:36,381 basehttp 13992 5364 "POST /api/auth/login HTTP/1.1" 200 342
WARNING 2025-10-08 13:46:45,415 log 13992 5372 Unauthorized: /api/auth/login
WARNING 2025-10-08 13:46:45,416 basehttp 13992 5372 "POST /api/auth/login HTTP/1.1" 401 39
ERROR 2025-10-08 15:19:01,792 log 13992 23060 Not Implemented: /api/auth/github
ERROR 2025-10-08 15:19:01,810 basehttp 13992 23060 "GET /api/auth/github HTTP/1.1" 501 81
INFO 2025-10-09 10:15:10,374 autoreload 2040 8680 Watching for file changes with StatReloader
WARNING 2025-10-09 10:18:32,238 log 2040 20348 Unauthorized: /api/auth/login
WARNING 2025-10-09 10:18:32,245 basehttp 2040 20348 "POST /api/auth/login HTTP/1.1" 401 39
ERROR 2025-10-09 11:31:49,399 log 2040 7664 Not Implemented: /api/auth/github
ERROR 2025-10-09 11:31:49,410 basehttp 2040 7664 "GET /api/auth/github HTTP/1.1" 501 81
WARNING 2025-10-09 12:22:44,189 log 2040 3024 Unauthorized: /api/auth/login
WARNING 2025-10-09 12:22:44,198 basehttp 2040 3024 "POST /api/auth/login HTTP/1.1" 401 39
WARNING 2025-10-09 12:25:34,376 log 2040 13376 Unauthorized: /api/auth/login
WARNING 2025-10-09 12:25:34,381 basehttp 2040 13376 "POST /api/auth/login HTTP/1.1" 401 39
WARNING 2025-10-09 12:25:38,024 log 2040 18956 Unauthorized: /api/auth/login
WARNING 2025-10-09 12:25:38,024 basehttp 2040 18956 "POST /api/auth/login HTTP/1.1" 401 39
ERROR 2025-10-09 12:36:35,547 log 2040 3092 Not Implemented: /api/auth/google
ERROR 2025-10-09 12:36:35,560 basehttp 2040 3092 "GET /api/auth/google HTTP/1.1" 501 81
ERROR 2025-10-09 16:46:02,031 log 2040 2932 Not Implemented: /api/auth/linkedin
ERROR 2025-10-09 16:46:02,048 basehttp 2040 2932 "GET /api/auth/linkedin HTTP/1.1" 501 85
INFO 2025-10-10 09:44:51,175 autoreload 17948 2168 Watching for file changes with StatReloader
